Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,25,0,4,3.630058439448476,1.9333550008013844,5.378359986934811,27.0,0.42502956092318644,0.0,4,4,4,4,5,5,5,5,5,5,5
GET,/calc/add/1/57,1,0,3.3580470480956137,3.3580470480956137,3.3580470480956137,3.3580470480956137,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/11/28,1,0,1.9668189925141633,1.9668189925141633,1.9668189925141633,1.9668189925141633,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/14/82,1,0,2.1255480241961777,2.1255480241961777,2.1255480241961777,2.1255480241961777,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/14/86,1,0,2.309198025614023,2.309198025614023,2.309198025614023,2.309198025614023,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/15/12,1,0,2.967149019241333,2.967149019241333,2.967149019241333,2.967149019241333,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/15/2,1,0,2.5589930010028183,2.5589930010028183,2.5589930010028183,2.5589930010028183,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/16/12,1,0,3.9479059632867575,3.9479059632867575,3.9479059632867575,3.9479059632867575,2.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/18/13,1,0,1.8586880178190768,1.8586880178190768,1.8586880178190768,1.8586880178190768,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/19/12,1,0,2.2594850161112845,2.2594850161112845,2.2594850161112845,2.2594850161112845,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/21/57,1,0,3.1258429517038167,3.1258429517038167,3.1258429517038167,3.1258429517038167,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/22/29,1,0,5.279703007545322,5.279703007545322,5.279703007545322,5.279703007545322,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/29/14,1,0,4.468510975129902,4.468510975129902,4.468510975129902,4.468510975129902,2.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/29/47,1,0,4.962264036294073,4.962264036294073,4.962264036294073,4.962264036294073,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/29/57,1,0,6.7182950442656875,6.7182950442656875,6.7182950442656875,6.7182950442656875,2.0,0.01700118243692746,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/calc/add/32/28,1,0,4.834190011024475,4.834190011024475,4.834190011024475,4.834190011024475,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/32/82,1,0,1.8689950229600072,1.8689950229600072,1.8689950229600072,1.8689950229600072,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/33/95,1,0,4.143541038502008,4.143541038502008,4.143541038502008,4.143541038502008,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/40/24,1,0,4.563634982332587,4.563634982332587,4.563634982332587,4.563634982332587,2.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/41/46,1,0,4.285408009309322,4.285408009309322,4.285408009309322,4.285408009309322,2.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/45/70,1,0,4.10293199820444,4.10293199820444,4.10293199820444,4.10293199820444,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/46/2,1,0,2.4813009658828378,2.4813009658828378,2.4813009658828378,2.4813009658828378,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/46/69,1,0,4.867144976742566,4.867144976742566,4.867144976742566,4.867144976742566,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/48/90,1,0,4.527237033471465,4.527237033471465,4.527237033471465,4.527237033471465,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/53/74,1,0,2.112138958182186,2.112138958182186,2.112138958182186,2.112138958182186,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/57/67,1,0,6.4885340398177505,6.4885340398177505,6.4885340398177505,6.4885340398177505,3.0,0.01700118243692746,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/calc/add/60/34,1,0,2.9315270367078483,2.9315270367078483,2.9315270367078483,2.9315270367078483,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
